,Id,City,State
714,714,178,Santa Catarina
715,715,Otacílio Costa,Santa Catarina
716,716,Otacílio Costa,Santa Catarina
717,717,4211751,Santa Catarina
718,718,179,Santa Catarina
719,719,Ouro,Santa Catarina
720,720,Ouro,Santa Catarina
721,721,4211801,Santa Catarina
722,722,180,Santa Catarina
723,723,Ouro Verde,Santa Catarina
724,724,Ouro Verde,Santa Catarina
725,725,4211850,Santa Catarina
726,726,181,Santa Catarina
727,727,Paial,Santa Catarina
728,728,Paial,Santa Catarina
729,729,4211876,Santa Catarina
730,730,182,Santa Catarina
731,731,Painel,Santa Catarina
732,732,Painel,Santa Catarina
733,733,4211892,Santa Catarina
734,734,183,Santa Catarina
735,735,Palhoça,Santa Catarina
736,736,Palhoça,Santa Catarina
737,737,4211900,Santa Catarina
738,738,184,Santa Catarina
739,739,Palma Sola,Santa Catarina
740,740,Palma Sola,Santa Catarina
741,741,4212007,Santa Catarina
742,742,185,Santa Catarina
743,743,Palmeira,Santa Catarina
744,744,Palmeira,Santa Catarina
745,745,4212056,Santa Catarina
746,746,186,Santa Catarina
747,747,Palmitos,Santa Catarina
748,748,Palmitos,Santa Catarina
749,749,4212106,Santa Catarina
750,750,187,Santa Catarina
751,751,Papanduva,Santa Catarina
752,752,Papanduva,Santa Catarina
753,753,4212205,Santa Catarina
754,754,188,Santa Catarina
755,755,Paraíso,Santa Catarina
756,756,Paraíso,Santa Catarina
757,757,4212239,Santa Catarina
758,758,189,Santa Catarina
759,759,Passo de Torres,Santa Catarina
760,760,Passo de Torres,Santa Catarina
761,761,4212254,Santa Catarina
762,762,190,Santa Catarina
763,763,Passos Maia,Santa Catarina
764,764,Passos Maia,Santa Catarina
765,765,4212270,Santa Catarina
766,766,191,Santa Catarina
767,767,Paulo Lopes,Santa Catarina
768,768,Paulo Lopes,Santa Catarina
769,769,4212304,Santa Catarina
770,770,192,Santa Catarina
771,771,Pedras Grandes,Santa Catarina
772,772,Pedras Grandes,Santa Catarina
773,773,4212403,Santa Catarina
774,774,193,Santa Catarina
775,775,Penha,Santa Catarina
776,776,Penha,Santa Catarina
777,777,4212502,Santa Catarina
778,778,194,Santa Catarina
779,779,Peritiba,Santa Catarina
780,780,Peritiba,Santa Catarina
781,781,4212601,Santa Catarina
782,782,195,Santa Catarina
783,783,Pescaria Brava,Santa Catarina
784,784,Pescaria Brava,Santa Catarina
785,785,4212650,Santa Catarina
786,786,"
",Santa Catarina
787,787,196,Santa Catarina
788,788,Petrolândia,Santa Catarina
789,789,Petrolândia,Santa Catarina
790,790,4212700,Santa Catarina
791,791,197,Santa Catarina
792,792,Pinhalzinho,Santa Catarina
793,793,Pinhalzinho,Santa Catarina
794,794,4212908,Santa Catarina
795,795,198,Santa Catarina
796,796,Pinheiro Preto,Santa Catarina
797,797,Pinheiro Preto,Santa Catarina
798,798,4213005,Santa Catarina
799,799,199,Santa Catarina
800,800,Piratuba,Santa Catarina
801,801,Piratuba,Santa Catarina
802,802,4213104,Santa Catarina
803,803,200,Santa Catarina
804,804,Planalto Alegre,Santa Catarina
805,805,Planalto Alegre,Santa Catarina
806,806,4213153,Santa Catarina
807,807,201,Santa Catarina
808,808,Pomerode,Santa Catarina
809,809,Pomerode,Santa Catarina
810,810,4213203,Santa Catarina
811,811,202,Santa Catarina
812,812,Ponte Alta,Santa Catarina
